Employee #,Last Name,First Name,Birthday,Phone Number,Status,Position,Immediate Supervisor
1,Garcia,Manuel III,10/11/1983,966-860-270,Regular,Chief Executive Officer,N/A
2,Lim,Antonio,06/19/1988,171-867-411,Regular,Chief Operating Officer,"Garcia, Manuel III"
3,Aquino,Bianca Sofia,08/04/1989,966-889-370,Regular,Chief Finance Officer,"Garcia, Manuel III"
4,Reyes,Isabella,06/16/1994,786-868-477,Regular,Chief Marketing Officer,"Garcia, Manuel III"
5,Hernandez,Eduard,09/23/1989,088-861-012,Regular,IT Operations and Systems,"Lim, Antonio"
6,Villanueva,Andrea Mae,02/14/1988,918-621-603,Regular,HR Manager,"Lim, Antonio"
7,San Jose,Brad ,03/15/1996,797-009-261,Regular,HR Team Leader,"Villanueva, Andrea Mae"
8,Romualdez,Alice,05/14/1992,983-606-799,Regular,HR Rank and File,"San, Jose Brad"
9,Atienza,Rosie ,09/24/1948,266-036-427,Regular,HR Rank and File,"San, Jose Brad"
10,Alvaro,Roderick,03/30/1988,053-381-386,Regular,Accounting Head,"Aquino, Bianca Sofia "
11,Salcedo,Anthony,09/14/1993,070-766-300,Regular,Payroll Manager,"Alvaro, Roderick"
12,Lopez,Josie ,01/14/1987,478-355-427,Regular,Payroll Team Leader,"Salcedo, Anthony"
13,Farala,Martha,01/11/1942,329-034-366,Regular,Payroll Rank and File,"Salcedo, Anthony"
14,Martinez,Leila,07/11/1970,877-110-749,Regular,Payroll Rank and File,"Salcedo, Anthony"
15,Romualdez,Fredrick ,03/10/1985,023-079-009,Regular,Account Manager,"Lim, Antonio"
16,Mata,Christian,10/21/1987,783-776-744,Regular,Account Team Leader,"Romualdez, Fredrick "
17,De Leon,Selena ,02/20/1975,975-432-139,Regular,Account Team Leader,"Romualdez, Fredrick "
18,San Jose,Allison ,06/24/1986,179-075-129,Regular,Account Rank and File,"Mata, Christian"
19,Rosario,Cydney ,10/06/1996,868-819-912,Regular,Account Rank and File,"Mata, Christian"
20,Bautista,Mark ,02/12/1991,683-725-348,Regular,Account Rank and File,"Mata, Christian"
21,Lazaro,Darlene ,11/25/1985,740-721-558,Probationary,Account Rank and File,"Mata, Christian"
22,Delos Santos,Kolby ,02/26/1980,739-443-033,Probationary,Account Rank and File,"Mata, Christian"
23,Santos,Vella ,12/31/1983,955-879-269,Probationary,Account Rank and File,"Mata, Christian"
24,Del Rosario,Tomas,12/18/1978,882-550-989,Probationary,Account Rank and File,"Mata, Christian"
25,Tolentino,Jacklyn ,05/19/1984,675-757-366,Probationary,Account Rank and File,"De Leon, Selena"
26,Gutierrez,Percival ,12/18/1970,512-899-876,Probationary,Account Rank and File,"De Leon, Selena"
27,Manalaysay,Garfield ,08/28/1986,948-628-136,Probationary,Account Rank and File,"De Leon, Selena"
28,Villegas,Lizeth ,12/12/1981,332-372-215,Probationary,Account Rank and File,"De Leon, Selena"
29,Ramos,Carol ,08/20/1978,250-700-389,Probationary,Account Rank and File,"De Leon, Selena"
30,Maceda,Emelia ,04/14/1973,973-358-041,Probationary,Account Rank and File,"De Leon, Selena"
31,Aguilar,Delia ,01/27/1989,529-705-439,Probationary,Account Rank and File,"De Leon, Selena"
32,Castro,John Rafael,02/09/1992,332-424-955 ,Regular,Sales & Marketing,"Reyes, Isabella"
33,Martinez,Carlos Ian,11/16/1990,078-854-208,Regular,Supply Chain and Logistics,"Reyes, Isabella"
34,Santos,Beatriz,08/07/1990,526-639-511,Regular,Customer Service and Relations,"Reyes, Isabella"
